"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-3-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,29.37,"7-day click, 1-day view, or 1-day engaged-view",4.0166849,7312,1.1270037,6488,0.02133479,156,,"Website adds to cart",229,0.12825328,229,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,CRS_EN_Edmonton_SEP12_7PM_JobInterview_8-22-2025,"Instagram Stories",not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,29.17259335,"7-day click, 1-day view, or 1-day engaged-view",7.87597013,3704,1.47334924,2514,0.01268898,47,,"Website adds to cart",17,1.7160349,17,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,"FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LAL_9-8-25 - Copy",Flyer_EN_Edmonton_SEP14_7PM_Flyer_9-8-2025,Feed,not_delivering,ad,"FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LAL_9-8-25 - Copy",28.55577468,"7-day click or 1-day view",3.03462005,9410,1.24470899,7560,0.01509033,142,,"Website adds to cart",191,0.14950667,191,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_HotIntent_9-8-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_9-8-2025,Feed,not_delivering,ad,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_HotIntent_9-8-25,27.85,"7-day click or 1-day view",209.39849624,133,1.31683168,101,0.0075188,1,,"Website adds to cart",,,,2025-04-01,2025-09-17
IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,M_21-45_EN_Feed_SEP12_Edmonton_7PM_6-25-25,Flyer_EN_EDM_SEP12_7PM_MaxName_6-25-25,"Instagram Reels",not_delivering,ad,M_21-45_EN_Feed_SEP12_Edmonton_7PM_6-25-25,27.34479691,"7-day click or 1-day view",1.43181469,19098,1.03411306,18468,0.00167557,32,,Reach,18468,1.48065827,11,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,"Instagram Stories",not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,26.29468294,"7-day click, 1-day view, or 1-day engaged-view",4.62446059,5686,1.2510451,4545,0.02374253,135,,"Website adds to cart",155,0.16964312,155,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,25.67311038,"7-day click, 1-day view, or 1-day engaged-view",4.032848,6366,1.14992775,5536,0.02089224,133,,"Website adds to cart",192,0.13371412,192,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Cart+Event+Pageview_9-8-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_9-8-2025,Feed,not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Cart+Event+Pageview_9-8-25,25.6,"7-day click or 1-day view",26.5560166,964,2.23148148,432,0.02178423,21,,"Website adds to cart",32,0.8,32,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,CRS_EN_Edmonton_SEP12_7PM_BabyReveal_8-3-2025,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,24.83,"7-day click or 1-day view",7.40530868,3353,1.72568194,1943,0.01521026,51,,"Website adds to cart",,,,2025-04-01,2025-09-17
CA-Edmonton-Traffic-SEP2025-Target,Targeted,T-Flyer,"Instagram Reels",not_delivering,ad,Targeted,24.59,"7-day click or 1-day view",3.01163503,8165,1.45181366,5624,0.07372933,602,,"Landing page views",566,0.04344523,,2025-04-01,2025-09-17
