"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"19:00:00 - 19:59:59",inactive,20,Daily,27.756958,"7-day click or 1-day view",5.43721,5105,1.146676,4452,0.0532811,272,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"19:00:00 - 19:59:59",inactive,20,Daily,9.053915,"7-day click or 1-day view",6.781959,1335,1.065443,1253,0.10411985,139,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,1.875361,"7-day click or 1-day view",1.683448,1114,1.059943,1051,0.00179533,2,1051,reach,1.78435845,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,4.627556,"7-day click or 1-day view",2.531486,1828,1,1828,0.00054705,1,1828,reach,2.53148601,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,4.26857,"7-day click or 1-day view",2.292465,1862,1.018043,1829,0.00107411,2,1829,reach,2.33382722,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,2.630478,"7-day click or 1-day view",2.810339,936,1.026316,912,0,,912,reach,2.88429569,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"19:00:00 - 19:59:59",active,10,Daily,52.356282,"7-day click or 1-day view",7.004185,7475,1.141396,6549,0.0683612,511,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"19:00:00 - 19:59:59",active,"Using ad set budget",0,45.781913,"7-day click or 1-day view",6.845382,6688,1.166376,5734,0.04336124,290,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"20:00:00 - 20:59:59",inactive,20,Daily,33.328355,"7-day click or 1-day view",5.42189,6147,1.139388,5395,0.0504311,310,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"20:00:00 - 20:59:59",inactive,20,Daily,9.724946,"7-day click or 1-day view",6.597657,1474,1.055874,1396,0.1275441,188,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,2.366765,"7-day click or 1-day view",2.050923,1154,1.028521,1122,0.0017331,2,1122,reach,2.10941659,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,5.118358,"7-day click or 1-day view",2.339286,2188,1.021952,2141,0.00045704,1,2141,reach,2.39063889,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,5.1303,"7-day click or 1-day view",2.405204,2133,1.00471,2123,0,,2123,reach,2.41653325,2025-07-08
