"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"13:00:00 - 13:59:59",inactive,25,Daily,0.88,"7-day click or 1-day view",6.875,128,1.032258,124,0.046875,6,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"13:00:00 - 13:59:59",inactive,25,Daily,19.67,"7-day click or 1-day view",8.880361,2215,1.226467,1806,0.04018059,89,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"13:00:00 - 13:59:59",inactive,25,Daily,18.42,"7-day click, 1-day view, or 1-day engaged-view",8.523832,2161,1.095842,1972,0.01156872,25,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"13:00:00 - 13:59:59",inactive,42,Daily,17.40288,"7-day click, 1-day view, or 1-day engaged-view",13.944615,1248,1.212828,1029,0.01362179,17,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"13:00:00 - 13:59:59",inactive,43,Daily,17.125341,"7-day click or 1-day view",12.391708,1382,1.252947,1103,0.02170767,30,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"14:00:00 - 14:59:59",inactive,25,Daily,17.84,"7-day click or 1-day view",6.659201,2679,1.09481,2447,0.07950728,213,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"14:00:00 - 14:59:59",inactive,25,Daily,17.790661,"7-day click or 1-day view",8.419622,2113,1.070415,1974,0.05111216,108,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"14:00:00 - 14:59:59",inactive,25,Daily,1.85,"7-day click or 1-day view",7.708333,240,1.038961,231,0.06666667,16,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"14:00:00 - 14:59:59",inactive,25,Daily,0.87,"7-day click or 1-day view",7.909091,110,1.028037,107,0.09090909,10,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"14:00:00 - 14:59:59",inactive,25,Daily,21.34,"7-day click or 1-day view",8.992836,2373,1.193662,1988,0.04087653,97,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"14:00:00 - 14:59:59",inactive,25,Daily,21.02,"7-day click, 1-day view, or 1-day engaged-view",8.506677,2471,1.172757,2107,0.01092675,27,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"14:00:00 - 14:59:59",inactive,42,Daily,20.543399,"7-day click, 1-day view, or 1-day engaged-view",14.951528,1374,1.182444,1162,0.02037846,28,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"14:00:00 - 14:59:59",inactive,43,Daily,22.15691,"7-day click or 1-day view",13.609896,1628,1.32898,1225,0.01781327,29,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"15:00:00 - 15:59:59",inactive,25,Daily,20.79,"7-day click or 1-day view",6.637931,3132,1.123386,2788,0.0651341,204,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"15:00:00 - 15:59:59",inactive,25,Daily,19.740733,"7-day click or 1-day view",8.150592,2422,1.022372,2369,0.06028076,146,,,,Ongoing
