"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","09:00:00 - 09:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,8191,8439,,-,-,-,28.03253218,1.03027713,183,0.15318324,0.02168503,213,3.32178365,2.16850338,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"20:00:00 - 20:59:59",IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231457080950429,120231457081080429,120231457081000429,active,ad,IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6970,7591,,-,-,-,27.52692688,1.08909613,399,0.06898979,0.05256224,440,3.62625832,5.25622448,,,,2025-05-01,2025-09-20
FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"21:00:00 - 21:59:59",MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Flyer_EN_Toronto_OCT5_7PM_Flyer_7-18-25,120229371794620429,120229371794720429,120229371794660429,not_delivering,ad,MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6031,6568,,-,-,-,26.68,1.08903996,279,0.09562724,0.04247868,561,4.06211937,4.24786845,,,,2025-05-01,2025-09-20
CA-Toronto-Traffic-OCT2025-Interest-2ND,"00:00:00 - 00:59:59",Interest,"I-CRS - Big",120226607761310429,120226607761300429,120226607761350429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,4252,4376,,-,-,-,26.66831436,1.02916275,266,0.10025682,0.06078611,297,6.09422175,6.0786106,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","10:00:00 - 10:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,7532,7874,,-,-,-,26.65240752,1.04540627,154,0.17306758,0.01955804,169,3.38486252,1.95580391,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","20:00:00 - 20:59:59",FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648950429,120231844648910429,active,ad,FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,7472,8058,,-,-,-,26.30747408,1.07842612,384,0.06850905,0.0476545,747,3.26476472,4.76545048,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","19:00:00 - 19:59:59",FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648870429,120231844648940429,active,ad,FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,4911,5572,,-,-,-,25.84,1.13459581,223,0.11587444,0.04002154,476,4.63747308,4.00215363,,,,2025-05-01,2025-09-20
CA-Toronto-Traffic-OCT2025-Target-2ND,"22:00:00 - 22:59:59",Targeted,T-Flyer,120226607737110429,120226607737100429,120226607737120429,not_delivering,ad,Targeted,"7-day click or 1-day view","Landing page views",,8044,8375,,-,-,-,25.76644833,1.04114868,848,0.03038496,0.10125373,1107,3.07659085,10.12537313,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"00:00:00 - 00:59:59",MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Video_EN_Toronto_OCT5_7PM_Promo_7-18-25,120229365441750429,120229369014240429,120229369014250429,not_delivering,ad,MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,4460,5010,,-,-,-,25.73,1.12331839,151,0.17039735,0.03013972,233,5.13572854,3.01397206,,,,2025-05-01,2025-09-20
CA-Toronto-Traffic-OCT2025-Target-2ND,"21:00:00 - 21:59:59",Targeted,T-Flyer,120226607737110429,120226607737100429,120226607737120429,not_delivering,ad,Targeted,"7-day click or 1-day view","Landing page views",,7156,7943,,-,-,-,25.16629814,1.10997764,761,0.03307004,0.09580763,979,3.16836185,9.58076294,,,,2025-05-01,2025-09-20
