"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"04:00:00 - 04:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1309,1375,,4.561017,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"04:00:00 - 04:59:59",inactive,20,Daily,"7-day click or 1-day view",,,832,866,,4.061076,2025-10-04
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","04:00:00 - 04:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,1705,1755,,5.832594,2025-06-09
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","04:00:00 - 04:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,2623,2760,,8.760791,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",808,reach,808,848,1.02838191,0.830933,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",485,reach,485,485,1.30060763,0.630795,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",676,reach,676,687,1.36266765,0.921163,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2598,reach,2598,2728,0.80937209,2.102749,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"04:00:00 - 04:59:59",inactive,20,Daily,"7-day click or 1-day view",,,785,828,,2.26,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"04:00:00 - 04:59:59",inactive,20,Daily,"7-day click or 1-day view",,,609,647,,2.2,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"04:00:00 - 04:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,2115,2363,,11.000245,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"04:00:00 - 04:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,3412,3825,,23.81,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"04:00:00 - 04:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,277,301,,1.570216,Ongoing
