"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_Big_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.88115978,"7-day click or 1-day view",2.20276321,854,1,854,0.00117096,1,,Reach,854,2.20276321,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Flyer_EN_SAC_NOV8_8PM_MaxName_6-28-25,"Instagram Stories",not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.8735467,"7-day click or 1-day view",2.26273757,828,1,828,0.00120773,1,,Reach,828,2.26273757,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_Big_6-28-25,"Explore home",not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.81111659,"7-day click or 1-day view",1.98587346,912,1.02242152,892,0.00109649,1,,Reach,892,2.03039977,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_PissGuy_6-28-25,"Instagram Reels",not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.70322275,"7-day click or 1-day view",2.40908451,707,1,707,0,,,Reach,707,2.40908451,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_PissGuy_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.54291943,"7-day click or 1-day view",2.4145844,639,1.0015674,638,0,,,Reach,638,2.41836901,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Flyer_EN_SAC_NOV8_8PM_MaxName_6-28-25,Explore,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.52288288,"7-day click or 1-day view",2.38696377,638,1,638,0,,,Reach,638,2.38696377,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_Big_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.31399797,"7-day click or 1-day view",2.34224236,561,1,561,0.00534759,3,,Reach,561,2.34224236,,2025-04-01,2025-09-17
US-Sacramento-Traffic-NOV2025-Interest,Interest,I-Flyer,"Facebook Notifications",not_delivering,ad,Interest,1.29016202,"7-day click or 1-day view",4.92428252,262,1.14912281,228,0.03816794,10,,"Landing page views",8,0.16127025,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Flyer_EN_SAC_NOV8_8PM_MaxName_6-28-25,Feed,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.28562814,"7-day click or 1-day view",2.47712551,519,1,519,0,,,Reach,519,2.47712551,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,CRS_EN_SAC_NOV8_8PM_PissGuy_6-28-25,"Instagram Stories",not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.27370262,"7-day click or 1-day view",2.65354713,480,1.00840336,476,0.00208333,1,,Reach,476,2.67584585,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,CRS_EN_SAC_NOV8_8PM_PissGuy_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.18344023,"7-day click or 1-day view",2.52332672,469,1.00213675,468,0,,,Reach,468,2.52871845,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,CRS_EN_SAC_NOV8_8PM_Big_6-28-25,Marketplace,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.15349014,"7-day click or 1-day view",1.59763177,722,1.02556818,704,0.00138504,1,,Reach,704,1.63848031,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_PissGuy_6-27-25,Marketplace,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.12,"7-day click or 1-day view",2.13740458,524,1.0781893,486,0,,,Reach,486,2.30452675,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_FrenchPersian_6-28-25,"Facebook Reels",not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,1.09,"7-day click or 1-day view",3.4384858,317,1.00634921,315,0,,,Reach,315,3.46031746,,2025-04-01,2025-09-17
FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,Video_EN_Sacramento_NOV8_8PM_PissGuy_7-8-25,"Facebook profile feed",active,ad,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,1.06195781,"7-day click or 1-day view",3.23767625,328,1.12328767,292,0.03658537,12,,"Landing page views",8,0.13274473,,2025-04-01,2025-09-17
